timestamp,cpu_utilization,assigned_memory
00:33.6,0.000270844,0.000271797
04:53.8,0.000200272,0.00668335
55:28.7,0.001091003,0.001270294
39:44.5,0.019714355,0
38:18.9,0.012252808,0
34:22.8,0,0.006500244
00:00.0,0.00067234,0.002075195
55:35.4,0.026397705,0.009765625
00:33.4,0.000220299,0.000195503
23:50.1,0.015441895,0.031799316
00:00.0,0.025421143,0.010620117
48:40.1,0.013595581,0
57:29.8,9.73E-05,0.002574921
31:42.6,0,0.006500244
16:29.7,0.000220299,0.000195503
02:52.0,0.000160217,0.002624512
46:59.8,0.073486328,0.07421875
46:56.2,0,0
05:33.4,0.000151634,0.00668335
45:43.5,0.02331543,0
26:29.1,0.004905701,0.073120117
09:10.2,9.54E-05,0.008377075
20:34.3,0.007041931,0.002605438
22:34.1,0,0.006500244
42:55.8,0.011749268,0.00377655
43:44.7,0.000144958,0.000806808
52:06.3,0.000265121,0
36:05.8,0.000400543,0.005210876
25:36.3,0.012451172,0.011169434
58:51.5,0.007118225,0.002624512
09:34.4,0.018280029,0.020782471
20:03.2,0.000200272,0.00668335
13:30.1,0.03338623,0.007423401
31:46.2,0,0.006500244
45:20.7,0.025939941,0.002918243
42:47.1,0.000191689,0.002857208
54:57.8,0.005401611,0.006011963
00:00.0,0.000239372,0
50:20.2,0.00038147,0
47:19.3,0.000818253,0
45:37.3,0,0.006500244
20:16.0,0.001049042,0.010421753
10:36.2,0.001556396,0.005180359
44:13.6,9.06E-05,0.000813484
02:44.4,0.000427246,0.000292778
08:33.3,0.000205994,0.003250122
35:37.4,0.002365112,0.005210876
59:25.2,0.000205994,0.003250122
11:09.4,0.007316589,0.002407074
25:02.4,0,0.0078125
51:05.3,0.000667572,0.004364014
43:42.2,0.011978149,0.000254631
00:00.0,0.004257202,0.002189636
00:00.0,0.000907898,0.00630188
33:36.6,0.006095886,0
42:15.6,0.000220299,0.003612518
39:11.9,0.005966187,0.002731323
06:41.5,0,0.006500244
54:06.3,0.011505127,0
02:30.9,0.020385742,0.003620148
56:37.9,0.004013062,0.005210876
09:03.1,0.007118225,0.002624512
00:00.0,0.000577927,0
28:58.8,0.020568848,0.013412476
47:22.4,4.77E-05,0
50:15.1,0.001083374,0.002925873
37:23.5,0.011001587,0
29:37.6,0.079467773,0.005409241
48:34.9,0.000220299,0.000195503
38:55.6,0.000220299,0.000195503
24:05.9,5.63E-05,0.005989075
52:49.2,0.004653931,0.001657486
53:32.6,0.006469727,0.00147438
56:07.9,0.001256943,0
00:00.0,0.000124931,0.000965118
29:44.2,0.026763916,0.102416992
00:00.0,0.004333496,0
03:56.4,0.01512146,0.005142212
34:45.9,0.001091003,0.001270294
06:05.9,0.016418457,0.009765625
31:54.3,0.007980347,0.006507874
57:31.7,0,0.002624512
17:23.4,0.000220299,0.000195503
45:03.2,0.004272461,0.017242432
11:40.0,0.016418457,0.009765625
26:38.4,0.000205994,0.003250122
19:35.8,0.000220299,0.000195503
00:00.0,0.000941277,0.000403404
40:47.7,6.39E-05,0
07:36.6,0.001995087,0
43:54.4,0.018371582,0.034606934
48:21.8,0.001745224,0.000227928
38:19.9,0.020294189,0.00390625
59:45.0,0,0
13:01.9,0.000433922,0.005210876
16:48.3,0.010681152,0.006507874
21:51.4,0.003681183,0.004844666
44:37.7,0.000205994,0.003250122
00:00.0,0.004257202,0.002189636
45:58.0,0.001411438,0.000441551
38:06.9,0.005958557,0.002845764
19:23.4,0.004936218,0
34:24.6,0.000220299,0.000195503
26:22.1,0.000218391,0.011016846
26:50.0,0.000200272,0.00668335
05:08.9,0.011016846,0
28:03.0,0.000106812,0.006507874
05:48.2,0.00070858,0
09:39.5,0.00920105,0.001783371
45:14.1,0.000205994,0.003250122
57:06.6,0.00402832,0.001256943
23:39.4,0.022094727,0.004302979
10:29.2,0.019592285,0
02:35.1,0,0
14:06.9,0.011505127,0
43:35.0,0.000218391,0.011016846
07:44.8,0.000220299,0.000195503
33:52.2,0.004943848,0.007263184
00:00.0,0.000952721,0.006469727
55:25.4,0.013595581,0
48:10.9,0,0
39:15.8,0.000427246,0.000292778
32:09.3,0.000270844,0.000271797
08:48.3,0.001745224,0.000227928
00:00.0,0.025421143,0.010620117
54:15.9,0,0.007614136
00:00.0,0.000164032,0
16:40.0,0.000890732,0.005210876
38:17.5,0.000183105,0.001960754
00:00.0,0.00553894,0.00390625
15:36.2,0.000144958,0.000806808
47:31.6,0.000182152,0.001470566
41:23.6,0.000218391,0.011016846
10:18.0,0.004356384,0.001655579
49:05.1,0.022460938,0
39:13.1,0.005966187,0.002731323
53:54.9,0,0.006500244
16:32.0,0.000378609,0
42:00.9,0.002365112,0.005210876
25:46.0,8.39E-05,0
